,matlab,python,delta
1552309_a_at,-160.39011100000002,157.77804587289157,2.612065127108451
1552310_at,-81.25175899999999,81.22546684726925,0.02629215273074692
1552311_a_at,-174.563784,175.78155298330134,-1.2177689833013403
1552312_a_at,-196.429995,197.00214599537782,-0.5721509953778252
1552314_a_at,-171.450712,171.7963030009049,-0.34559100090490347
1552315_at,-187.483972,188.10096599719745,-0.6169939971974543
1552316_a_at,-173.545952,173.4647041112135,0.0812478887864927
1552318_at,-159.786541,166.928368333518,-7.141827333517995
1552319_a_at,-192.856823,200.97899414534197,-8.12217114534198
1552320_a_at,-191.39571,191.06586138012725,0.32984861987276304
1552321_a_at,-166.95415,177.48842789449182,-10.534277894491822
1552322_at,-193.770611,206.84412262497383,-13.073511624973833
1552323_s_at,-148.026368,148.0535854279058,-0.02721742790581061
1552325_at,-202.59259699999998,203.96984827603038,-1.3772512760303925
1552326_a_at,-189.754286,190.0564324706178,-0.3021464706177994
1552327_at,-215.78912400000002,215.27221899174953,0.5169050082504896
1552329_at,-143.895409,144.21349142204383,-0.31808242204382964
1552330_at,-209.55471,204.07970941600894,5.475000583991061
1552332_at,-124.074294,132.80639415293638,-8.732100152936383
1552334_at,-170.954364,169.63996036993515,1.3144036300648452
1552335_at,-178.27289199999998,176.90217988878067,1.3707121112193192
1552337_s_at,-175.088961,181.19908275356818,-6.110121753568166
1552338_at,-154.613123,157.8695622727618,-3.25643927276181
1552340_at,-158.390816,158.2229604820224,0.167855517977614
1552343_s_at,-155.662679,155.10283478944842,0.5598442105515744
1552344_s_at,-160.245832,159.933100843881,0.31273115611901403
1552347_at,-100.285088,100.28890959550387,-0.0038215955038651828
1552348_at,-197.071995,196.80259862723415,0.26939637276583994
1552349_a_at,-181.324851,181.70544615914247,-0.380595159142473
1552354_at,-126.51416299999998,131.47227951713953,-4.958116517139544
1552355_s_at,-168.677154,173.44347274628734,-4.7663187462873395
1552359_at,-190.883419,193.58958642250548,-2.706167422505473
1552360_a_at,-138.09172,141.03134259606568,-2.939622596065675
1552362_a_at,-155.647986,156.934995273429,-1.2870092734289926
1552364_s_at,-163.93006100000002,163.6742962345982,0.25576476540183535
1552365_at,-199.65538,198.72535209559288,0.930027904407126
1552367_a_at,-174.490206,183.46684623215282,-8.976640232152818
1552368_at,-201.26431599999998,200.86919126718865,0.39512473281132543
1552370_at,-191.51998600000002,192.90605328264206,-1.3860672826420455
1552372_at,-180.695454,196.1461032019896,-15.450649201989592
1552373_s_at,-195.662403,195.41757924061588,0.2448237593841327
1552375_at,-172.46971000000002,170.4638656645994,2.00584433540061
1552377_s_at,-149.860543,149.608449434222,0.25209356577801145
1552378_s_at,-219.11761600000003,222.47622928717598,-3.358613287175956
1552379_at,-205.758979,207.2202848512671,-1.4613058512670989
1552381_at,-100.25705,199.13115107030373,-98.87410107030372
1552383_at,-169.174825,175.63088707611936,-6.456062076119366
1552384_a_at,-159.499314,160.24862991791923,-0.7493159179192332
1552386_at,-199.637366,201.34326508526004,-1.7058990852600573
1552388_at,-144.55246,154.02712667143032,-9.474666671430327
1552389_at,-155.628599,212.6453575890864,-57.01675858908638
1552390_a_at,-239.110932,232.45786851285794,6.653063487142049
1552391_at,-189.992144,192.22800540279647,-2.2358614027964734
1552393_at,-204.751404,206.24404885571434,-1.4926448557143317
1552394_a_at,-199.215881,196.7289618882398,2.486919111760187
1552395_at,-163.718086,171.41342423293332,-7.695338232933324
1552396_at,-173.058845,171.32352599530824,1.7353190046917462
1552398_a_at,-197.283103,197.2205098731091,0.0625931268909028
1552399_a_at,-202.62911100000002,204.12307333359854,-1.4939623335985175
1552400_a_at,-130.192822,129.8684619495848,0.32436005041520843
1552401_a_at,-166.475106,166.5688510765579,-0.09374507655789444
1552402_at,-162.360672,170.50535235896447,-8.144680358964479
1552405_at,-187.599601,196.00204788742175,-8.402446887421746
1552408_at,-195.098028,199.31876089802677,-4.2207328980267675
1552409_a_at,-166.51953999999998,173.4506330172814,-6.931093017281427
1552410_at,-172.448467,171.94670967650038,0.5017573234996178
1552411_at,-168.75929,168.9014867124061,-0.1421967124061041
1552412_a_at,-193.79216399999999,195.67396589993652,-1.8818018999365336
1552414_at,-183.689534,179.6750680823202,4.014465917679814
1552415_a_at,-187.32053100000002,194.27829181196847,-6.9577608119684555
1552417_a_at,-188.604274,193.02560528562248,-4.421331285622472
1552418_at,-193.570145,194.7922263973327,-1.2220813973327154
1552419_s_at,-115.056425,115.64708969385124,-0.5906646938512381
1552421_a_at,-194.065576,200.4510460998605,-6.385470099860498
1552422_at,-161.135467,169.55785331055083,-8.42238631055082
1552423_at,-133.20499099999998,133.33523402669698,-0.13024302669700205
1552424_at,-185.037178,192.33900811990353,-7.301830119903514
1552425_a_at,-179.456252,181.93028151916573,-2.4740295191657253
1552426_a_at,-81.79645,85.84888844954564,-4.052438449545647
1552427_at,-185.25558,186.6873614155604,-1.4317814155603799
1552430_at,-201.926161,199.5463534602073,2.3798075397926937
1552432_at,-86.155721,89.11588516736518,-2.9601641673651784
1552436_a_at,-174.864803,182.19076560967707,-7.325962609677077
1552438_a_at,-180.031307,180.79191130349616,-0.7606043034961658
1552439_s_at,-190.984676,197.33071633824065,-6.346040338240641
1552440_at,-201.044003,209.74974473286457,-8.705741732864567
1552445_a_at,-205.12630900000002,212.0505028116255,-6.924193811625486
1552448_a_at,-161.21993999999998,168.2789679224226,-7.059027922422615
1552449_a_at,-187.70141999999998,188.00087690970437,-0.2994569097043893
1552450_a_at,-184.58173100000002,184.14267814024018,0.43905285975984043
1552452_at,-154.134176,164.22265022050686,-10.088474220506868
